2020-08-21 17:35:39,064 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-08-21 17:35:39,107 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-08-21 17:35:39,109 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-08-21 17:35:39,109 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-08-21 17:35:39,131 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-08-21 17:35:39,132 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-08-21 17:35:39,183 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-08-21 17:37:48,727 INFO  SwAddin.cs: 271 - Assembly export called for file catapult
2020-08-21 17:37:48,729 INFO  SwAddin.cs: 276 - Save is required
2020-08-21 17:37:48,730 INFO  SwAddin.cs: 290 - Saving assembly
2020-08-21 17:37:49,062 INFO  SwAddin.cs: 293 - Opening property manager
2020-08-21 17:37:49,104 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from catapult
2020-08-21 17:37:49,113 INFO  ExportHelperExtension.cs: 1142 - Found 30 in catapult
2020-08-21 17:37:49,114 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in catapult
2020-08-21 17:37:49,115 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-08-21 17:37:49,117 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-08-21 17:37:49,118 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from rotation-1
2020-08-21 17:37:49,119 INFO  ExportHelperExtension.cs: 1142 - Found 32 in rotation-1
2020-08-21 17:37:49,120 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in rotation-1
2020-08-21 17:37:49,120 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from base-1
2020-08-21 17:37:49,121 INFO  ExportHelperExtension.cs: 1142 - Found 27 in base-1
2020-08-21 17:37:49,121 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in base-1
2020-08-21 17:37:49,122 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from bowl-1
2020-08-21 17:37:49,122 INFO  ExportHelperExtension.cs: 1142 - Found 31 in bowl-1
2020-08-21 17:37:49,123 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in bowl-1
2020-08-21 17:37:49,125 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from catapult
2020-08-21 17:37:49,126 INFO  ExportHelperExtension.cs: 1142 - Found 30 in catapult
2020-08-21 17:37:49,126 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in catapult
2020-08-21 17:37:49,127 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-08-21 17:37:49,127 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-08-21 17:37:49,128 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from rotation-1
2020-08-21 17:37:49,128 INFO  ExportHelperExtension.cs: 1142 - Found 32 in rotation-1
2020-08-21 17:37:49,129 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [RefAxis] in rotation-1
2020-08-21 17:37:49,129 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from base-1
2020-08-21 17:37:49,130 INFO  ExportHelperExtension.cs: 1142 - Found 27 in base-1
2020-08-21 17:37:49,130 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in base-1
2020-08-21 17:37:49,131 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from bowl-1
2020-08-21 17:37:49,131 INFO  ExportHelperExtension.cs: 1142 - Found 31 in bowl-1
2020-08-21 17:37:49,132 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in bowl-1
2020-08-21 17:37:49,413 INFO  SwAddin.cs: 316 - Loading config tree
2020-08-21 17:37:49,420 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-08-21 17:37:49,425 INFO  SwAddin.cs: 321 - Showing property manager
2020-08-21 17:37:53,517 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:38:08,267 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:38:31,946 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:38:36,786 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:38:45,266 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:38:47,998 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:39:59,801 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:40:20,386 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:40:24,390 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:40:32,430 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:40:42,361 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-08-21 17:40:57,936 INFO  ExportPropertyManager.cs: 456 - Configuration saved
2020-08-21 17:40:58,348 INFO  ExportHelperExtension.cs: 338 - Creating joint link2
2020-08-21 17:40:58,356 INFO  ExportHelperExtension.cs: 1409 - Fixing components for base_link
2020-08-21 17:40:58,358 INFO  ExportHelperExtension.cs: 1414 - Fixing 23
2020-08-21 17:40:58,358 INFO  ExportHelperExtension.cs: 1422 - Component 23 is already fixed
2020-08-21 17:40:58,499 INFO  : 0 - R1: 1, System.__ComObject, 1, System.Double[]
2020-08-21 17:40:58,502 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2020-08-21 17:40:58,503 INFO  ExportHelperExtension.cs: 852 - L1: 0
2020-08-21 17:40:58,503 INFO  ExportHelperExtension.cs: 860 - L2: 0
2020-08-21 17:40:59,373 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent base_link to child link2 failed
2020-08-21 17:40:59,395 INFO  ExportHelperExtension.cs: 338 - Creating joint arm_bowl
2020-08-21 17:40:59,395 INFO  ExportHelperExtension.cs: 1409 - Fixing components for link2
2020-08-21 17:40:59,396 INFO  ExportHelperExtension.cs: 1414 - Fixing 24
2020-08-21 17:40:59,396 INFO  ExportHelperExtension.cs: 1414 - Fixing 23
2020-08-21 17:40:59,397 INFO  ExportHelperExtension.cs: 1422 - Component 23 is already fixed
2020-08-21 17:40:59,525 INFO  ExportHelperExtension.cs: 831 - R1: 1, System.__ComObject, 1, System.Double[]
2020-08-21 17:40:59,526 INFO  ExportHelperExtension.cs: 844 - R2: 0, 0
2020-08-21 17:40:59,527 INFO  ExportHelperExtension.cs: 852 - L1: 0
2020-08-21 17:40:59,527 INFO  ExportHelperExtension.cs: 860 - L2: 0
2020-08-21 17:40:59,528 INFO  ExportHelperExtension.cs: 1364 - Unfixing component 24
2020-08-21 17:41:00,284 WARN  ExportHelperExtension.cs: 342 - Creating joint from parent link2 to child arm_bowl failed
2020-08-21 17:41:00,449 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from catapult
2020-08-21 17:41:00,455 INFO  ExportHelperExtension.cs: 1142 - Found 35 in catapult
2020-08-21 17:41:00,455 INFO  ExportHelperExtension.cs: 1152 - Found 1 features of type [CoordSys] in catapult
2020-08-21 17:41:00,456 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-08-21 17:41:00,456 INFO  ExportHelperExtension.cs: 1167 - 3 components to check
2020-08-21 17:41:00,457 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from rotation-1
2020-08-21 17:41:00,457 INFO  ExportHelperExtension.cs: 1142 - Found 32 in rotation-1
2020-08-21 17:41:00,465 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in rotation-1
2020-08-21 17:41:00,466 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from base-1
2020-08-21 17:41:00,488 INFO  ExportHelperExtension.cs: 1142 - Found 27 in base-1
2020-08-21 17:41:00,489 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in base-1
2020-08-21 17:41:00,490 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from bowl-1
